ip_cidr,pop_id,zone_id,client_name,latency_mean_ms,latency_std_ms,nx_rate,qps_baseline
190.14.0.0/16,PAN-ATL-01,BANCO-PA-Z1,BANCO-PA,22.0,8.0,0.020,80
200.12.0.0/16,PAN-PAC-01,BANCO-PA-Z2,BANCO-PA,18.0,6.0,0.015,70
190.102.0.0/16,COL-BOG-01,BANCO-COL-Z1,BANCO-COL,35.0,14.0,0.030,45
138.118.0.0/16,COL-MED-01,BANCO-COL-Z2,BANCO-COL,32.0,12.0,0.025,40
38.108.0.0/16,PAN-PAC-01,GOB-PA-Z1,GOB-PA,15.0,5.0,0.010,12
200.229.0.0/16,GUA-GUA-01,GOB-PA-Z2,GOB-PA,48.0,18.0,0.012,6
201.218.0.0/16,PAN-ATL-01,HOSP-PA-Z1,HOSP-PA,20.0,7.0,0.018,10
181.119.0.0/16,SAL-SAL-01,HOSP-PA-Z2,HOSP-PA,52.0,20.0,0.015,5
10.0.0.0/8,PAN-PAC-01,BANCO-PA-Z1,BANCO-PA,5.0,2.0,0.005,20
172.16.0.0/12,PAN-PAC-01,BANCO-PA-Z1,BANCO-PA,6.0,2.5,0.005,15
192.168.0.0/16,PAN-PAC-01,HOSP-PA-Z1,HOSP-PA,6.0,2.5,0.008,8
0.0.0.0/0,PAN-ATL-01,DEFAULT-Z0,DEFAULT,90.0,45.0,0.080,60
